"inverse_data","week_day","hour","state","road_id","km","city","cause_of_accident","type_of_accident","victims_condition","weather_timestamp","road_direction","wheather_condition","road_type","road_delineation","people","deaths","slightly_injured","severely_injured","uninjured","ignored","total_injured","vehicles_involved","latitude","longitude","regional","police_station"
"2017-02-15","wednesday","01:05:00","MG","262","62,5","MATIPO","Incompatible velocity","Rollover","With dead victims","Night","Increasing","Cloudy","Simple","Not Reported"," 2"," 1"," 0"," 1"," 0"," 0"," 1"," 1","-2.029517e+01","-4.223243e+01","SPRF-MG","DEL06-MG"
"2017-02-15","wednesday","06:15:00","SC","470","73","INDAIAL","Disrespect of safe distance from the next car","Head-on collision","With injured victims","Sunrise","Increasing","Clear sky","Simple","Not Reported"," 2"," 0"," 1"," 0"," 0"," 1"," 1"," 2","-2.689706e+01","-4.926428e+01","SPRF-SC","DEL04-SC"
"2017-02-15","wednesday","01:00:00","MG","365","543,4","ROMARIA","Driver was sleeping","Overturn","With injured victims","Night","Decreasing","Clear sky","Simple","Straight"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 1","-1.893124e+01","-4.765776e+01","SPRF-MG","DEL10-MG"
"2017-02-15","wednesday","06:10:00","RS","290","4,6","OSORIO","Driver's lack of attention to conveyance","Rear-end collision","Without victims","Sunrise","Increasing","Cloudy","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-2.989784e+01","-5.031929e+01","SPRF-RS","DEL03-RS"
"2017-02-15","wednesday","07:50:00","GO","60","48,4","APARECIDA DE GOIANIA","Driver's lack of attention to conveyance","Side impact collision","Without victims","Day","Decreasing","Clear sky","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.681010e+01","-4.923970e+01","SPRF-GO","DEL01-GO"
"2017-02-15","wednesday","07:00:00","ES","262","177","IUNA","Excessive load/cargo","Overturn","Without victims","Sunrise","Decreasing","Clear sky","Simple","Curve"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.028092e+01","-4.165020e+01","SPRF-ES","DEL01-ES"
"2017-02-15","wednesday","05:40:00","SP","116","449,6","REGISTRO","Driver was sleeping","Collision with fixed object","Without victims","Sunrise","Decreasing","Clear sky","Double","Straight"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.453485e+01","-4.785844e+01","SPRF-SP","DEL05-SP"
"2017-02-15","wednesday","07:25:00","MA","10","251","IMPERATRIZ","Disrespect of safe distance from the next car","Rear-end collision","Without victims","Day","Decreasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-5.540620e+00","-4.746662e+01","SPRF-MA","DEL04-MA"
"2017-02-15","wednesday","06:50:00","MG","381","485","BETIM","Disrespect of safe distance from the next car","Rear-end collision","With injured victims","Sunrise","Decreasing","Clear sky","Double","Straight"," 3"," 0"," 1"," 0"," 2"," 0"," 1"," 3","-1.995570e+01","-4.409782e+01","SPRF-MG","DEL01-MG"
"2017-02-15","wednesday","08:20:00","MG","116","531,8","CARATINGA","Driver's lack of attention to conveyance","Broadside collision","With injured victims","Day","Decreasing","Cloudy","Simple","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-1.982504e+01","-4.213891e+01","SPRF-MG","DEL06-MG"
"2017-02-15","wednesday","07:40:00","MT","364","316","CAMPO VERDE","Disrespect of safe distance from the next car","Rear-end collision","Without victims","Day","Increasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.580981e+01","-5.530604e+01","SPRF-MT","DEL02-MT"
"2017-02-14","tuesday","23:00:00","MT","158","527,3","CANARANA","Driver was sleeping","Run-off-road","With injured victims","Night","Increasing","Rainy","Simple","Straight"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 1","-1.373055e+01","-5.203764e+01","SPRF-MT","DEL07-MT"
